author,comment,likes,published
@Rusmiati-j4y,Prgram mbg cakupanya luas anak stanting dikoordinasi puskesmas dan kader posyandu ibu hamil menyusui .,0,2025-09-13T15:17:41Z
@Rusmiati-j4y,Sehat selalu pak Helmy yahya dan pak Dadan mohon infokan ke pak Dadan dan pak bupati tangerang  di Kel binong kec curug tangerang belum ada dapur mbg  padat penduduknya 23 kami di RW 10 trima kasih Mas Helmy yahya tetzp semangat.,0,2025-09-13T15:01:50Z
@NinaAyal-c7t,Anak anak kita di Maluku khususnya kecamatan Saparua belum menikmati MBG  bapak,0,2025-09-12T13:08:07Z
@AhsanulKholiqin-f8p,Saya sangat setuju dengan mbh karnamenambah tenaga kerja,0,2025-09-12T12:08:55Z
@SumiatiSurodiharjo,❤🇲🇨.. Alhamdulillah,0,2025-09-12T07:58:00Z
@Ningsih-u9m5q,MBG banyak berpotensi Korupsi. .,0,2025-09-11T09:33:51Z
@Ningsih-u9m5q,"Ya ,,sebenarnya Program MBG ini ,menjadikan.ladang korupsi,,karna yg di dapat tidak sesuai apa yg di bilang bergizi.  Susu kambing aja 1minggu cuma 2x dapet .dan satu Minggu itu cuma 5x. Dan tidak sesuai harga yg di anggarkan. .tolong di Survei di Bangkalan....Pak ...👍🙏",0,2025-09-11T09:32:46Z
@niscayaghaca9514,Yg penting anggaran MBG ga disunat sana sini. Jadi menunya sesuai dg anggaran yg di turunkan oleh pemerintah.,0,2025-09-10T01:47:09Z
@ariswahyudi7123,Mungkin. Lebih baik buat beli pupuk aj buat petani jd pangan melimpah dan murah dari pada buat makan....anak2 skr sudah gak kekurangan gizi....,0,2025-09-09T16:50:57Z
@madsalim-jq5cm,"Pak menteri tlg siswa siswi sekolah dasar didaerah cilebut , baik dicilebut timur maupun cilebut barat kabupaten bogor, sampai saat ini blm merasakan makan bergizi gratis, bisa dibantu tdk krn semenjak hadir mbg, belum merasakan, krn didawrah tersebut sebagian besar ekonomi menengah kebawah, tlg pak dipikirkan bila perlu tlg ditegur bupatinya.",0,2025-09-09T06:57:22Z
@AghniaZahra-f3p,Tolong stop MBG (makan bergizi gratis) atau ganti nama jadi MAG (makanan asal-asalan gratis). Mubazir menu nya dikit dan ga jelas  dimana nilai gizinya.... Rasanya pun uwe bikin ga nafsu makan,0,2025-09-08T02:49:13Z
@DRchannel9953,"MBG Mantap
MBG program memberi makan adalah shodaqoh yg bisa mengangkat Drajat semoga negara ini tambah maju.
MBG menyapa peternak, petani dan menciptakan lapangan kerja.

Semoga Alloh Melindungi dan menolong dan niat baik
  Bapak Presiden Prabowo
 untuk mewujudkan program ini.",4,2025-09-06T02:40:41Z
@EdiSukarso-t9e,"sampai dengan tgl 5 September 2025 tenaga akuntansi di dapur kota Cilacap tidak mendapatkan honor, padahal SDH bekerja 4 bulan yang lalu, lantas bagaimana kelanjutannya, kasian karyawan gak bisa makan.",0,2025-09-05T17:28:43Z
@ArifBudiarto-g1m,"Coba cek porsi makanan anak, di dapur Masing masing.. coba cek barang belanjaan baku sesuai budget apa sesuai akal akalan",1,2025-09-05T11:43:04Z
@uriantokeckembangbahu6737,"Yth. Pemegang kebijakan MBG, bersama ini kami laporkan dengan hormat bahwa ahli gizi dan akuntan SPPG MBG diseluruh Indonesia sudah bekerja 4 bulan tapi belum menerima honor (gaji). Oleh karena itu mohon mendapat perhatian terhadap pemenuhan hak pekerja khususnya pemberian honor (gaji) kepada ahli gizi dan akuntan di SPPG MBG.",0,2025-09-05T11:03:44Z
@yusuf_gorenggareng369,Smga tdk mnjdi ajang korupsi 🤲🤲🤲🙏,0,2025-09-05T06:44:38Z
@GusmaNingsih-r3o,Asslm bpk Helmy Yahya yg punya Chanel..tolong smp kan kpd Bpk Kep BGN. Saran kami dari msyarakat klu dpat 1 Dapur SPPG 3 org SPPI nya. Jadi 3 trip x 8 jam = 24 jam terawasi. Spy lebih trkontrol dapur nya. Dismping anak2 sppi tdk jenuh 24 jam. Trmsh smg Bpk amanah mnyampaikan nya.,1,2025-09-05T01:59:26Z
@InggritTiwi,Yang bikin pusing instansi pemerintahan ikutan jadi suplier,0,2025-09-04T08:00:22Z
@selonjoranaja509,semoga MBG tidak dikorupsi,0,2025-09-04T04:57:40Z
@HeniIrawati-q5w,"Bmg meningkatkan kesejahteraan, meningkatkan perekonomian",0,2025-09-03T16:38:45Z
@HeniIrawati-q5w,Mbg membukan lapangan kerja di semua sektor,0,2025-09-03T16:36:04Z
